Tiempo	LacI	TetR	cI
48.015	4.48023	3.54995	27.2601
48.3472	4.22611	3.85689	26.939
48.6794	3.9881	4.2062	26.4846
49.0116	3.76543	4.60179	25.9118
49.3438	3.55734	5.0478	25.2371
49.6759	3.36314	5.54856	24.4776
50.0081	3.18219	6.10849	23.6502
50.3403	3.01388	6.73203	22.7713
50.6725	2.85768	7.42358	21.8562
51.016	2.70836	8.21461	20.8864
51.3596	2.57098	9.08695	19.906
51.7031	2.44512	10.0441	18.9266
52.0466	2.33044	11.0886	17.9577
52.3901	2.22668	12.2217	17.0073
52.7336	2.13362	13.4431	16.0815
53.0771	2.05117	14.7505	15.1852
53.4206	1.97929	16.1393	14.3217
53.7641	1.91804	17.6023	13.4936
54.1076	1.86757	19.1291	12.7024
54.4511	1.82815	20.7065	11.9488
54.7946	1.80015	22.3177	11.233
55.1381	1.78406	23.9429	10.5547
55.4977	1.78067	25.6344	9.88407
55.8574	1.79193	27.2865	9.25267
56.217	1.81891	28.8677	8.65922
56.5767	1.86291	30.3446	8.10221
56.9363	1.92547	31.6844	7.58003
57.2959	2.00835	32.8556	7.09101
57.6556	2.11362	33.8301	6.63348
58.0152	2.24363	34.5849	6.20574
58.3748	2.40109	35.1034	5.80616
58.7345	2.58903	35.3764	5.43313
59.0941	2.81089	35.4028	5.08511
59.4538	3.07048	35.1896	4.76062
59.8134	3.37207	34.751	4.45828
60.173	3.72034	34.1071	4.17674
60.5327	4.12039	33.2827	3.91476
60.8923	4.57777	32.3053	3.67118
61.2519	5.09841	31.2034	3.44491
61.6116	5.68859	30.0055	3.23494
61.9712	6.35485	28.7384	3.04034
62.3309	7.10387	27.4266	2.86026
62.6905	7.94235	26.092	2.69392
63.0501	8.87676	24.7533	2.54063
63.3713	9.79726	23.567	2.41427
63.6925	10.8029	22.3991	2.29743
64.0137	11.8967	21.2569	2.18978
64.3348	13.081	20.1463	2.09104
64.656	14.3567	19.0717	2.00097
64.9772	15.7235	18.0363	1.9194
65.2984	17.1792	17.0424	1.8462
65.6195	18.7197	16.0912	1.7813
65.9407	20.3388	15.1835	1.72472
66.275	22.0979	14.2848	1.67472
66.6093	23.9196	13.4327	1.63394
66.9559	25.8578	12.5972	1.60165
67.3026	27.8245	11.8093	1.57991
67.6667	29.8931	11.0315	1.56899
68.0308	31.9321	10.3023	1.57099
68.3949	33.9053	9.61961	1.58683
68.7591	35.7739	8.98105	1.61759
69.1232	37.4984	8.38429	1.66461
69.4873	39.0399	7.82698	1.72941
69.8514	40.362	7.30687	1.81382
70.2155	41.4329	6.82173	1.91994
70.5796	42.2269	6.36944	2.05018
70.9073	42.6905	5.98882	2.19027
71.2349	42.9096	5.63175	2.35439
71.5626	42.8848	5.29687	2.54508
71.8903	42.6227	4.9829	2.76515
72.2179	42.1361	4.68865	3.01771
72.5456	41.4428	4.41296	3.30619
72.8733	40.5644	4.15476	3.63434
73.201	39.5254	3.91304	4.00622
73.5286	38.3516	3.68685	4.42624
73.8563	37.0691	3.47531	4.89909
74.184	35.7033	3.27758	5.42977
74.5116	34.278	3.09289	6.02353
74.8393	32.8149	2.92055	6.68582
75.167	31.3334	2.75988	7.42219
75.4946	29.8502	2.61029	8.23825
75.8223	28.3795	2.47122	9.13947
76.15	26.9331	2.34218	10.1311
76.4776	25.5203	2.22272	11.2179
76.8053	24.1484	2.11245	12.404
77.133	22.8232	2.01102	13.6926
77.4606	21.5484	1.91815	15.0858
77.7883	20.3267	1.83359	16.5841
78.116	19.1597	1.75717	18.1864
78.4436	18.0478	1.68876	19.8892
78.7713	16.9911	1.6283	21.6871
79.099	15.9887	1.57578	23.5717
79.4385	15.0062	1.52981	25.604
79.778	14.0793	1.49258	27.7016
80.1333	13.1663	1.46325	29.9463
80.4887	12.3095	1.44414	32.2154
80.8572	11.4776	1.43567	34.5617
81.2256	10.7004	1.43947	36.8641
81.5941	9.97477	1.45643	39.0816
81.9626	9.29789	1.48765	41.1709
82.3311	8.66683	1.53443	43.0881
82.6996	8.07879	1.5983	44.7899
83.0681	7.53108	1.68107	46.2361
83.3981	7.07264	1.77297	47.2856
83.7282	6.64275	1.88342	48.0813
84.0582	6.23972	2.01438	48.6088
84.3883	5.86198	2.16804	48.8603
84.7183	5.50803	2.34686	48.835
85.0484	5.17644	2.55357	48.5397
85.3784	4.86587	2.79123	47.9878
85.7085	4.57507	3.06318	47.1989
86.0385	4.30285	3.37314	46.197
86.3686	4.04809	3.72514	45.0099
86.6986	3.80977	4.12358	43.6668
87.0287	3.5869	4.57319	42.1977
87.3587	3.37859	5.07906	40.6319
87.6888	3.18397	5.64657	38.9969
88.0188	3.00228	6.28139	37.318
88.3489	2.83278	6.98938	35.6176
88.679	2.6748	7.77654	33.9153
89.009	2.52773	8.64891	32.2276
89.3391	2.39101	9.61239	30.5681
89.6691	2.26413	10.6726	28.9478
89.9992	2.14662	11.8348	27.3751
90.3292	2.03809	13.1034	25.8565
90.6593	1.93817	14.4819	24.3966
90.9893	1.84656	15.9726	22.9983
91.3194	1.76301	17.5762	21.6633
91.6494	1.68731	19.2916	20.3923
91.9795	1.61933	21.1156	19.185
92.3095	1.55898	23.0424	18.0406
92.6396	1.50622	25.0635	16.9577
92.9811	1.45966	27.2422	15.8999
93.3226	1.42139	29.4936	14.9037
93.6814	1.39033	31.9152	13.921
94.0401	1.36897	34.3684	13.0004
94.3989	1.35777	36.8217	12.1388
94.7576	1.3573	39.2401	11.3331
95.1164	1.3683	41.5854	10.5802
95.4751	1.39166	43.8169	9.87695
95.8339	1.42845	45.8927	9.22042
96.1926	1.47991	47.7708	8.60778
96.5514	1.54752	49.4111	8.03628
96.9101	1.63301	50.7769	7.50333
97.2689	1.73835	51.8368	7.00649
97.6276	1.8658	52.567	6.5434
97.9864	2.01797	52.9527	6.1119
98.3451	2.19778	52.9891	5.7099
98.7039	2.40857	52.6825	5.33549
99.0626	2.65407	52.049	4.98683
99.385	2.90769	51.2217	4.69412
99.7073	3.19606	50.1746	4.41969
100.03	3.52282	48.9346	4.16246
100.352	3.89198	47.5308	3.92141
100.674	4.30784	45.993	3.6956
100.997	4.77504	44.3506	3.48412
101.319	5.29854	42.6316	3.28617
101.642	5.88355	40.8619	3.10095
101.964	6.53555	39.0648	2.92776
102.286	7.2602	37.2607	2.76592
102.609	8.06327	35.4671	2.61483
102.931	8.95054	33.6986	2.47391
103.253	9.92766	31.9671	2.34265
103.576	11	30.2821	2.22056
103.898	12.1727	28.6507	2.10724
104.22	13.4498	27.0783	2.00229
104.543	14.835	25.5686	1.90537
104.865	16.3304	24.1238	1.8162
105.187	17.9371	22.745	1.73453
105.51	19.6543	21.4324	1.66016
105.832	21.4793	20.1855	1.59293
106.155	23.4074	19.003	1.53275
106.489	25.5089	17.8425	1.4777
106.823	27.7023	16.7475	1.43018
107.173	30.0761	15.6711	1.38867
107.522	32.5144	14.6604	1.35561
107.892	35.136	13.6599	1.33015
108.261	37.7696	12.7258	1.31485
108.631	40.3776	11.8543	1.31028
109	42.9188	11.0418	1.31716
109.369	45.3487	10.2847	1.33635
109.739	47.6212	9.57947	1.36892
110.108	49.6896	8.92293	1.41614
110.478	51.5083	8.31189	1.47951
110.847	53.0351	7.74336	1.56078
111.176	54.1179	7.27123	1.64973
111.504	54.92	6.82862	1.75608
111.833	55.427	6.41375	1.88169
112.161	55.6312	6.02495	2.02865
112.49	55.5325	5.66064	2.19929
112.818	55.1385	5.31933	2.39624
113.147	54.4642	4.99962	2.62241
113.475	53.5309	4.70021	2.88101
113.804	52.365	4.41985	3.1756
114.132	50.9967	4.15739	3.51007
